Hierarchical Name, Code Type, Description, Aggregate, List Order, Hierarchical Name, File Type, Classification, Folder Location, Coverage, Number Of Coding References, Reference Number, Coded By Initials, Modified On, Coded Text
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Aiken_Harper_Rucker, Document, , Files\\BWOH, 0.0015, 1, 1, NN, 7/17/2019 7:55:35 PM, "But he was a very, very... I would call Papa a very good scholar, and he took advantage of reading and everything he had to read; he started everything. "
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Craft_Juanita, Document, , Files\\BWOH, 0.0025, 1, 1, AA, 11/30/2020 9:28:57 AM, " The thing that is most interesting about this whole situation is that they had told the students that it would be so easy, they would be employed afterwards and they made it very bright for them. They are still harassing the students in our high schools."
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Duster_Alfreda, Document, , Files\\BWOH, 0.0002, 1, 1, NN, 7/17/2019 7:55:35 PM, "Then to add insult to injury, "
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Edwards_Lena, Document, , Files\\BWOH, 0.0011, 3, 1, NN, 7/17/2019 7:55:35 PM, " I knew they needed me more than I needed them, and I took advantage of that opportunity. "
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Edwards_Lena, Document, , Files\\BWOH, 0.0011, 3, 2, NN, 7/17/2019 7:55:35 PM, "And we feel that it's an insult to tell an older person that you're an alcoholic or a drug addict, but the thing that bothers me is that they are. "
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Edwards_Lena, Document, , Files\\BWOH, 0.0011, 3, 3, AA, 12/14/2020 2:31:52 AM, insult 
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Grant_Frances, Document, , Files\\BWOH, 0.0033, 3, 1, AA, 12/14/2020 2:41:20 AM, harassment 
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Grant_Frances, Document, , Files\\BWOH, 0.0033, 3, 2, NN, 7/17/2019 7:55:35 PM, "I have always felt, and this may be most unfair, that the Negro ministry was one of the setbacks to a great deal of development, because they were a self-aggrandizing group; they took advantage of the religious fervor of a great many of the people, and the big churches were really institutionsÃ"
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Grant_Frances, Document, , Files\\BWOH, 0.0033, 3, 3, NN, 7/17/2019 7:55:35 PM, "Then, I suppose what happens to a great many peopleÃ¢Â€Â”the intellectuals set in, in the movement of doubt, a little bit of too much inquisi-tiveness into the workings of the Episcopal church, and some of the prejudices that I saw, and gradually I leaned away from it."
Nodes\\Errors, Node, Use these codes to identify false hits. Provide enough context (e.g. the entire sentence) for us to understand the usage. Do not use Event (extent) code on errors., True, 202, Files\\BWOH\\BWOH_Halyard_Ardie, Document, , Files\\BWOH, 0.0057, 3, 1, NN, 7/17/2019 7:55:35 PM, "This Ann Brown was teaching in Texas, and another friend, Leonora Fleming. In order not to insult Leonora who was her other friend, close friend,Ã¯Â»Â¿10 AH: (cont.) who would visit us in the country and were very close, she named her Annie Brown Leonora. "
