filename,word,count
BWOH_Abbott_Jessie.txt,ja,171
BWOH_Abbott_Jessie.txt,alt,165
BWOH_Abbott_Jessie.txt,would,80
BWOH_Abbott_Jessie.txt,one,72
BWOH_Abbott_Jessie.txt,carver,68
BWOH_Abbott_Jessie.txt,time,53
BWOH_Abbott_Jessie.txt,course,47
BWOH_Abbott_Jessie.txt,yes,43
BWOH_Abbott_Jessie.txt,little,43
BWOH_Abbott_Jessie.txt,could,41
BWOH_Abbott_Jessie.txt,us,41
BWOH_Abbott_Jessie.txt,school,38
BWOH_Abbott_Jessie.txt,well,33
BWOH_Abbott_Jessie.txt,major,32
BWOH_Abbott_Jessie.txt,year,31
BWOH_Abbott_Jessie.txt,tuskegee,30
BWOH_Abbott_Jessie.txt,golf,30
BWOH_Abbott_Jessie.txt,first,30
BWOH_Abbott_Jessie.txt,years,29
BWOH_Abbott_Jessie.txt,group,29
BWOH_Adair_Christia.txt,would,230
BWOH_Adair_Christia.txt,people,143
BWOH_Adair_Christia.txt,could,130
BWOH_Adair_Christia.txt,things,128
BWOH_Adair_Christia.txt,like,121
BWOH_Adair_Christia.txt,well,113
BWOH_Adair_Christia.txt,one,97
BWOH_Adair_Christia.txt,time,85
BWOH_Adair_Christia.txt,us,83
BWOH_Adair_Christia.txt,women,80
BWOH_Adair_Christia.txt,woman,80
BWOH_Adair_Christia.txt,lot,71
BWOH_Adair_Christia.txt,something,70
BWOH_Adair_Christia.txt,negro,70
BWOH_Adair_Christia.txt,children,69
BWOH_Adair_Christia.txt,white,67
BWOH_Adair_Christia.txt,anything,67
BWOH_Adair_Christia.txt,life,65
BWOH_Adair_Christia.txt,ca,65
BWOH_Adair_Christia.txt,man,64
BWOH_Adams_Frankie.txt,school,91
BWOH_Adams_Frankie.txt,work,82
BWOH_Adams_Frankie.txt,social,73
BWOH_Adams_Frankie.txt,one,59
BWOH_Adams_Frankie.txt,time,39
BWOH_Adams_Frankie.txt,fa,33
BWOH_Adams_Frankie.txt,people,29
BWOH_Adams_Frankie.txt,university,28
BWOH_Adams_Frankie.txt,atlanta,26
BWOH_Adams_Frankie.txt,church,25
BWOH_Adams_Frankie.txt,white,24
BWOH_Adams_Frankie.txt,would,24
BWOH_Adams_Frankie.txt,gfb,23
BWOH_Adams_Frankie.txt,could,23
BWOH_Adams_Frankie.txt,ywca,23
BWOH_Adams_Frankie.txt,kind,21
BWOH_Adams_Frankie.txt,black,21
BWOH_Adams_Frankie.txt,period,21
BWOH_Adams_Frankie.txt,years,20
BWOH_Adams_Frankie.txt,national,20
BWOH_Adams_Kathleen.txt,atlanta,147
BWOH_Adams_Kathleen.txt,school,112
BWOH_Adams_Kathleen.txt,first,111
BWOH_Adams_Kathleen.txt,church,101
BWOH_Adams_Kathleen.txt,one,94
BWOH_Adams_Kathleen.txt,ka,85
BWOH_Adams_Kathleen.txt,university,82
BWOH_Adams_Kathleen.txt,would,69
BWOH_Adams_Kathleen.txt,little,66
BWOH_Adams_Kathleen.txt,course,65
BWOH_Adams_Kathleen.txt,could,63
BWOH_Adams_Kathleen.txt,years,58
BWOH_Adams_Kathleen.txt,gfb,52
BWOH_Adams_Kathleen.txt,us,51
BWOH_Adams_Kathleen.txt,time,51
BWOH_Adams_Kathleen.txt,back,45
BWOH_Adams_Kathleen.txt,family,43
BWOH_Adams_Kathleen.txt,well,42
BWOH_Adams_Kathleen.txt,negro,41
BWOH_Adams_Kathleen.txt,people,41
BWOH_Aiken_Harper_Rucker.txt,lra,135
BWOH_Aiken_Harper_Rucker.txt,atlanta,118
BWOH_Aiken_Harper_Rucker.txt,one,93
BWOH_Aiken_Harper_Rucker.txt,gfb,88
BWOH_Aiken_Harper_Rucker.txt,people,83
BWOH_Aiken_Harper_Rucker.txt,time,80
BWOH_Aiken_Harper_Rucker.txt,father,73
BWOH_Aiken_Harper_Rucker.txt,could,70
BWOH_Aiken_Harper_Rucker.txt,would,68
BWOH_Aiken_Harper_Rucker.txt,university,62
BWOH_Aiken_Harper_Rucker.txt,us,53
BWOH_Aiken_Harper_Rucker.txt,well,52
BWOH_Aiken_Harper_Rucker.txt,husband,49
BWOH_Aiken_Harper_Rucker.txt,school,44
BWOH_Aiken_Harper_Rucker.txt,little,41
BWOH_Aiken_Harper_Rucker.txt,two,40
BWOH_Aiken_Harper_Rucker.txt,white,39
BWOH_Aiken_Harper_Rucker.txt,office,38
BWOH_Aiken_Harper_Rucker.txt,business,37
BWOH_Aiken_Harper_Rucker.txt,ca,36
BWOH_Alexander_Sadie.txt,stma,51
BWOH_Alexander_Sadie.txt,mg,43
BWOH_Alexander_Sadie.txt,school,39
BWOH_Alexander_Sadie.txt,well,36
BWOH_Alexander_Sadie.txt,mother,35
BWOH_Alexander_Sadie.txt,would,23
BWOH_Alexander_Sadie.txt,one,23
BWOH_Alexander_Sadie.txt,home,23
BWOH_Alexander_Sadie.txt,yes,22
BWOH_Alexander_Sadie.txt,university,19
BWOH_Alexander_Sadie.txt,first,19
BWOH_Alexander_Sadie.txt,could,18
BWOH_Alexander_Sadie.txt,good,18
BWOH_Alexander_Sadie.txt,never,17
BWOH_Alexander_Sadie.txt,children,15
BWOH_Alexander_Sadie.txt,anything,15
BWOH_Alexander_Sadie.txt,laughter,14
BWOH_Alexander_Sadie.txt,women,13
BWOH_Alexander_Sadie.txt,back,13
BWOH_Alexander_Sadie.txt,woman,13
BWOH_Barnett_Etta.txt,people,187
BWOH_Barnett_Etta.txt,emb,161
BWOH_Barnett_Etta.txt,reh,159
BWOH_Barnett_Etta.txt,one,144
BWOH_Barnett_Etta.txt,yes,141
BWOH_Barnett_Etta.txt,would,127
BWOH_Barnett_Etta.txt,thing,118
BWOH_Barnett_Etta.txt,women,113
BWOH_Barnett_Etta.txt,time,107
BWOH_Barnett_Etta.txt,well,106
BWOH_Barnett_Etta.txt,like,95
BWOH_Barnett_Etta.txt,really,88
BWOH_Barnett_Etta.txt,back,83
BWOH_Barnett_Etta.txt,way,73
BWOH_Barnett_Etta.txt,us,72
BWOH_Barnett_Etta.txt,things,67
BWOH_Barnett_Etta.txt,kind,60
BWOH_Barnett_Etta.txt,negro,59
BWOH_Barnett_Etta.txt,first,58
BWOH_Barnett_Etta.txt,school,54
BWOH_Boyd_Norma.txt,nb,160
BWOH_Boyd_Norma.txt,alt,148
BWOH_Boyd_Norma.txt,would,68
BWOH_Boyd_Norma.txt,school,61
BWOH_Boyd_Norma.txt,children,57
BWOH_Boyd_Norma.txt,could,48
BWOH_Boyd_Norma.txt,time,42
BWOH_Boyd_Norma.txt,well,41
BWOH_Boyd_Norma.txt,mother,41
BWOH_Boyd_Norma.txt,us,41
BWOH_Boyd_Norma.txt,one,41
BWOH_Boyd_Norma.txt,church,36
